model,source_kind,n,mean_effect,ci_low,ci_high
Qwen3-8B,same_computation,30,1.528125,0.9520371306539992,2.104212869346001
Qwen3-8B,surface_wrong,30,0.022916666666666665,-1.1079098247875017,1.153743158120835
Qwen3-8B,unrelated,30,-1.25625,-1.6063901887886578,-0.9061098112113424
Gemma2-9B,same_computation,30,1.9911458333333334,1.5194833574080473,2.4628083092586195
Gemma2-9B,surface_wrong,30,-0.7674479166666667,-1.6284409384585354,0.09354510512520209
Gemma2-9B,unrelated,30,-0.17643229166666666,-1.012459548136909,0.6595949648035757
