layer,n,mean_effect,ci_low,ci_high
0,6,1.1458333333333333,0.7402607979112275,1.551405868755439
10,6,1.5325520833333333,1.0617055035049234,2.003398663161743
21,6,2.7513020833333335,1.5239075919764618,3.978696574690205
31,6,2.76171875,1.561683683780579,3.961753816219421
41,6,1.7643229166666667,0.5525331207248907,2.976112712608443
