condition,n,mean_damage,ci_low,ci_high
path zero,64,0.6602783203125,0.32543606839001116,0.9951205722349888
"source-position
removal",128,0.20648193359375,0.15927901257909355,0.25368485460840645
"recurrent feature
zero",282,-0.016877823687614278,-0.03350030563519973,-0.0002553417400288291
"active control
zero",282,0.017188527059893235,-0.008767507632635469,0.04314456175242194
