family,example,source_kind,layer,target_margin,source_margin,patched_margin,patch_effect,normalized_rescue
addition,4,same_computation,21,2.98828125,5.5078125,6.4609375,3.47265625,1.37829402659958
addition,4,same_computation,31,2.98828125,5.5078125,6.390625,3.40234375,1.350387060931647
addition,4,same_computation,41,2.98828125,5.5078125,5.5078125,2.51953125,0.9999996031009327
addition,4,surface_wrong,0,2.98828125,4.609375,3.2734375,0.28515625,0.17590350594868068
addition,4,surface_wrong,10,2.98828125,4.609375,4.671875,1.68359375,1.038553576217553
addition,4,surface_wrong,21,2.98828125,4.609375,3.296875,0.30859375,0.19036132835542155
addition,4,surface_wrong,31,2.98828125,4.609375,0.7265625,-2.26171875,-1.3951798622504947
addition,4,surface_wrong,41,2.98828125,4.609375,-0.1015625,-3.08984375,-1.9060229206220056
addition,4,unrelated,0,2.98828125,4.67578125,2.9140625,-0.07421875,-0.04398145541839679
addition,4,unrelated,10,2.98828125,4.67578125,2.5234375,-0.46484375,-0.27546279972574833
addition,4,unrelated,21,2.98828125,4.67578125,2.1796875,-0.80859375,-0.4791663827162177
addition,4,unrelated,31,2.98828125,4.67578125,4.31640625,1.328125,0.7870365706449952
addition,4,unrelated,41,2.98828125,4.67578125,5.14453125,2.15625,1.2777770205765804
addition,5,same_computation,0,1.859375,6.1171875,3.3828125,1.5234375,0.3577980811043039
addition,5,same_computation,10,1.859375,6.1171875,4.25,2.390625,0.5614677580405999
addition,5,same_computation,21,1.859375,6.1171875,7.1484375,5.2890625,1.2422015431159679
addition,5,same_computation,31,1.859375,6.1171875,7.125,5.265625,1.2366969572528246
addition,5,same_computation,41,1.859375,6.1171875,6.1171875,4.2578125,0.9999997651376699
addition,5,surface_wrong,0,1.859375,4.6328125,3.140625,1.28125,0.4619716644158506
addition,5,surface_wrong,10,1.859375,4.6328125,3.4140625,1.5546875,0.5605631781631357
addition,5,surface_wrong,21,1.859375,4.6328125,3.4296875,1.5703125,0.5661969789486949
addition,5,surface_wrong,31,1.859375,4.6328125,-1.0078125,-2.8671875,-1.0338024441501046
addition,5,surface_wrong,41,1.859375,4.6328125,-1.1015625,-2.9609375,-1.0676052488634595
addition,5,unrelated,0,1.859375,4.7109375,1.8203125,-0.0390625,-0.013698625333084814
addition,5,unrelated,10,1.859375,4.7109375,1.41796875,-0.44140625,-0.1547944662638584
addition,5,unrelated,21,1.859375,4.7109375,1.28125,-0.578125,-0.20273965492965526
addition,5,unrelated,31,1.859375,4.7109375,2.9921875,1.1328125,0.3972601346594596
addition,5,unrelated,41,1.859375,4.7109375,3.890625,2.03125,0.7123285173204104
subtraction,0,same_computation,0,4.05859375,5.0390625,6.6875,2.62890625,2.6812721657144443
subtraction,0,same_computation,10,4.05859375,5.0390625,8.5078125,4.44921875,4.537843977338413
subtraction,0,same_computation,21,4.05859375,5.0390625,8.40625,4.34765625,4.434258425616904
subtraction,0,same_computation,31,4.05859375,5.0390625,7.015625,2.95703125,3.0159331789685506
subtraction,0,same_computation,41,4.05859375,5.0390625,5.0390625,0.98046875,0.9999989800807215
subtraction,0,surface_wrong,0,4.05859375,5.0625,7.109375,3.05078125,3.03890747875364
subtraction,0,surface_wrong,10,4.05859375,5.0625,8.9453125,4.88671875,4.867699431396676
subtraction,0,surface_wrong,21,4.05859375,5.0625,5.3671875,1.30859375,1.3035006470966317
subtraction,0,surface_wrong,31,4.05859375,5.0625,1.21875,-2.83984375,-2.8287909565350784
subtraction,0,surface_wrong,41,4.05859375,5.0625,-0.6015625,-4.66015625,-4.642018722347109
subtraction,0,unrelated,0,4.05859375,4.19140625,4.02734375,-0.03125,-0.23529234603410046
subtraction,0,unrelated,10,4.05859375,4.19140625,3.296875,-0.76171875,-5.735250934581199
subtraction,0,unrelated,21,4.05859375,4.19140625,3.25390625,-0.8046875,-6.058777910378087
subtraction,0,unrelated,31,4.05859375,4.19140625,3.4921875,-0.56640625,-4.264673771868071
subtraction,0,unrelated,41,4.05859375,4.19140625,3.22265625,-0.8359375,-6.294070256412187
subtraction,1,same_computation,0,2.47265625,5.9140625,3.796875,1.32421875,0.3847898995389168
subtraction,1,same_computation,10,2.47265625,5.9140625,5.328125,2.85546875,0.8297386919261008
subtraction,1,same_computation,21,2.47265625,5.9140625,6.703125,4.23046875,1.2292845463145927
subtraction,1,same_computation,31,2.47265625,5.9140625,6.7734375,4.30078125,1.2497158684140042
subtraction,1,same_computation,41,2.47265625,5.9140625,5.9140625,3.44140625,0.9999997094211968
subtraction,1,surface_wrong,0,2.47265625,5.796875,4.0390625,1.56640625,0.47121019902489897
subtraction,1,surface_wrong,10,2.47265625,5.796875,6.53125,4.05859375,1.2209162014635162
subtraction,1,surface_wrong,21,2.47265625,5.796875,2.2265625,-0.24609375,-0.07403053002136817
subtraction,1,surface_wrong,31,2.47265625,5.796875,0.03125,-2.44140625,-0.734429861323097
subtraction,1,surface_wrong,41,2.47265625,5.796875,-0.875,-3.34765625,-1.0070502258462304
subtraction,1,unrelated,0,2.47265625,8.6328125,2.43359375,-0.0390625,-0.0063411530606625344
subtraction,1,unrelated,10,2.47265625,8.6328125,1.53515625,-0.9375,-0.1521876734559008
subtraction,1,unrelated,21,2.47265625,8.6328125,1.98828125,-0.484375,-0.07863029795221542
subtraction,1,unrelated,31,2.47265625,8.6328125,3.2421875,0.76953125,0.12492071529505192
subtraction,1,unrelated,41,2.47265625,8.6328125,3.5,1.02734375,0.16677232549542464
subtraction,2,same_computation,0,2.046875,5.8046875,2.4375,0.390625,0.10395007628771358
subtraction,2,same_computation,10,2.046875,5.8046875,4.40625,2.359375,0.6278584607777901
subtraction,2,same_computation,21,2.046875,5.8046875,6.984375,4.9375,1.3139289642766996
subtraction,2,same_computation,31,2.046875,5.8046875,6.5859375,4.5390625,1.2078998864632318
subtraction,2,same_computation,41,2.046875,5.8046875,5.8046875,3.7578125,0.9999997338878047
subtraction,2,surface_wrong,0,2.046875,6.109375,2.515625,0.46875,0.11538458698225551
subtraction,2,surface_wrong,10,2.046875,6.109375,6.8359375,4.7890625,1.1788458636687105
subtraction,2,surface_wrong,21,2.046875,6.109375,6.9765625,4.9296875,1.213461239763387
subtraction,2,surface_wrong,31,2.046875,6.109375,0.8984375,-1.1484375,-0.282692238106526
subtraction,2,surface_wrong,41,2.046875,6.109375,-0.140625,-2.1875,-0.5384614059171924
subtraction,2,unrelated,0,2.046875,2.97265625,2.00390625,-0.04296875,-0.04641345197534301
subtraction,2,unrelated,10,2.046875,2.97265625,1.65234375,-0.39453125,-0.42615987722814946
subtraction,2,unrelated,21,2.046875,2.97265625,1.96875,-0.078125,-0.08438809450062366
subtraction,2,unrelated,31,2.046875,2.97265625,3.5078125,1.4609375,1.5780573671616624
subtraction,2,unrelated,41,2.046875,2.97265625,3.56640625,1.51953125,1.6413484380371302
subtraction,3,same_computation,0,2.953125,5.859375,3.515625,0.5625,0.1935483204995026
subtraction,3,same_computation,10,2.953125,5.859375,4.8203125,1.8671875,0.6424728972136268
subtraction,3,same_computation,21,2.953125,5.859375,7.515625,4.5625,1.5698919329404102
subtraction,3,same_computation,31,2.953125,5.859375,6.578125,3.625,1.2473113987745723
subtraction,3,same_computation,41,2.953125,5.859375,5.859375,2.90625,0.9999996559140969
subtraction,3,surface_wrong,0,2.953125,6.515625,3.5234375,0.5703125,0.16008767436135457
subtraction,3,surface_wrong,10,2.953125,6.515625,4.703125,1.75,0.4912279322868962
subtraction,3,surface_wrong,21,2.953125,6.515625,7.71875,4.765625,1.3377189227455655
subtraction,3,surface_wrong,31,2.953125,6.515625,0.5078125,-2.4453125,-0.6864033160973148
subtraction,3,surface_wrong,41,2.953125,6.515625,-0.15625,-3.109375,-0.8728067725454673
subtraction,3,unrelated,0,2.953125,4.53515625,2.9375,-0.015625,-0.00987653696692972
subtraction,3,unrelated,10,2.953125,4.53515625,3.9375,0.984375,0.6222218289165724
subtraction,3,unrelated,21,2.953125,4.53515625,3.46484375,0.51171875,0.32345658566694835
subtraction,3,unrelated,31,2.953125,4.53515625,4.5390625,1.5859375,1.0024685021433666
subtraction,3,unrelated,41,2.953125,4.53515625,4.59765625,1.64453125,1.0395055157693531
subtraction,4,same_computation,0,1.3359375,6.546875,1.7421875,0.40625,0.07796100452922251
subtraction,4,same_computation,10,1.3359375,6.546875,2.765625,1.4296875,0.27436276593937925
subtraction,4,same_computation,21,1.3359375,6.546875,6.1015625,4.765625,0.9145425531312641
subtraction,4,same_computation,31,1.3359375,6.546875,6.515625,5.1796875,0.9940028077475871
subtraction,4,same_computation,41,1.3359375,6.546875,6.546875,5.2109375,0.9999998080959889
subtraction,4,surface_wrong,0,1.3359375,7.484375,1.78125,0.4453125,0.07242692595851775
subtraction,4,surface_wrong,10,1.3359375,7.484375,3.828125,2.4921875,0.4053366558029327
subtraction,4,surface_wrong,21,1.3359375,7.484375,6.4609375,5.125,0.833544972434871
subtraction,4,surface_wrong,31,1.3359375,7.484375,0.1875,-1.1484375,-0.1867852301035458
subtraction,4,surface_wrong,41,1.3359375,7.484375,-0.078125,-1.4140625,-0.22998725611388973
subtraction,4,unrelated,0,1.3359375,4.55859375,1.28125,-0.0546875,-0.01696969170395021
subtraction,4,unrelated,10,1.3359375,4.55859375,1.4765625,0.140625,0.04363635009587197
subtraction,4,unrelated,21,1.3359375,4.55859375,2.03125,0.6953125,0.21575750880736697
subtraction,4,unrelated,31,1.3359375,4.55859375,3.984375,2.6484375,0.8218179268055887
subtraction,4,unrelated,41,1.3359375,4.55859375,4.26171875,2.92578125,0.9078785061613363
subtraction,5,same_computation,0,2.859375,5.6875,2.890625,0.03125,0.011049719849822816
subtraction,5,same_computation,10,2.859375,5.6875,2.4921875,-0.3671875,-0.12983420823541808
subtraction,5,same_computation,21,2.859375,5.6875,7.1015625,4.2421875,1.499999469613447
subtraction,5,same_computation,31,2.859375,5.6875,6.6171875,3.7578125,1.3287288119411935
subtraction,5,same_computation,41,2.859375,5.6875,5.6875,2.828125,0.9999996464089648
subtraction,5,surface_wrong,0,2.859375,7.0234375,2.84375,-0.015625,-0.0037523443146340106
subtraction,5,surface_wrong,10,2.859375,7.0234375,2.9921875,0.1328125,0.03189492667438909
subtraction,5,surface_wrong,21,2.859375,7.0234375,6.828125,3.96875,0.9530954559170387
subtraction,5,surface_wrong,31,2.859375,7.0234375,1.765625,-1.09375,-0.26266410202438073
subtraction,5,surface_wrong,41,2.859375,7.0234375,0.9921875,-1.8671875,-0.44840514559876427
subtraction,5,unrelated,0,2.859375,4.21875,2.8125,-0.046875,-0.034482733254081285
subtraction,5,unrelated,10,2.859375,4.21875,2.890625,0.03125,0.022988488836054193
subtraction,5,unrelated,21,2.859375,4.21875,2.96875,0.109375,0.08045971092618967
subtraction,5,unrelated,31,2.859375,4.21875,4.16796875,1.30859375,0.9626429700097693
subtraction,5,unrelated,41,2.859375,4.21875,4.5,1.640625,1.206895663892845
multiplication,0,same_computation,0,4.240234375,5.6796875,9.51953125,5.279296875,3.6675686868450916
multiplication,0,same_computation,10,4.240234375,5.6796875,9.4140625,5.173828125,3.59429872417782
multiplication,0,same_computation,21,4.240234375,5.6796875,7.75,3.509765625,2.438261535427536
multiplication,0,same_computation,31,4.240234375,5.6796875,6.34375,2.103515625,1.4613286998639154
multiplication,0,same_computation,41,4.240234375,5.6796875,5.6796875,1.439453125,0.9999993052922059
multiplication,0,surface_wrong,0,4.240234375,6.03125,9.69140625,5.451171875,3.0436188022542785
multiplication,0,surface_wrong,10,4.240234375,6.03125,9.1875,4.947265625,2.76226672379437
multiplication,0,surface_wrong,21,4.240234375,6.03125,7.7578125,3.517578125,1.9640119895592818
multiplication,0,surface_wrong,31,4.240234375,6.03125,1.6484375,-2.591796875,-1.4471093337841017
multiplication,0,surface_wrong,41,4.240234375,6.03125,0.71875,-3.521484375,-1.966193013423312
multiplication,0,unrelated,0,4.240234375,3.74609375,4.1796875,-0.060546875,-0.12252939630414662
multiplication,0,unrelated,10,4.240234375,3.74609375,6.953125,2.712890625,5.490107466659989
multiplication,0,unrelated,21,4.240234375,3.74609375,6.78125,2.541015625,5.142282083603057
multiplication,0,unrelated,31,4.240234375,3.74609375,3.625,-0.615234375,-1.2450567688969736
multiplication,0,unrelated,41,4.240234375,3.74609375,3.74609375,-0.494140625,-0.9999979762886805
multiplication,1,same_computation,0,4.505859375,4.6328125,5.40234375,0.896484375,7.061482838781331
multiplication,1,same_computation,10,4.505859375,4.6328125,8.515625,4.009765625,31.584366596989266
multiplication,1,same_computation,21,4.505859375,4.6328125,7.3046875,2.798828125,22.04598019166372
multiplication,1,same_computation,31,4.505859375,4.6328125,5.3046875,0.798828125,6.292258128674432
multiplication,1,same_computation,41,4.505859375,4.6328125,4.6328125,0.126953125,0.9999921231389685
multiplication,1,surface_wrong,0,4.505859375,5.8046875,5.5390625,1.033203125,0.7954881093384782
multiplication,1,surface_wrong,10,4.505859375,5.8046875,8.4296875,3.923828125,3.0210503055973588
multiplication,1,surface_wrong,21,4.505859375,5.8046875,6.890625,2.384765625,1.8360888119135765
multiplication,1,surface_wrong,31,4.505859375,5.8046875,1.2734375,-3.232421875,-2.488719888384086
multiplication,1,surface_wrong,41,4.505859375,5.8046875,0.6953125,-3.810546875,-2.933832327635862
multiplication,1,unrelated,0,4.505859375,4.64453125,4.470703125,-0.03515625,-0.2535192985650582
multiplication,1,unrelated,10,4.505859375,4.64453125,4.82421875,0.318359375,2.2957580925613605
multiplication,1,unrelated,21,4.505859375,4.64453125,4.66015625,0.154296875,1.112668032591089
multiplication,1,unrelated,31,4.505859375,4.64453125,4.27734375,-0.228515625,-1.6478754406728786
multiplication,1,unrelated,41,4.505859375,4.64453125,4.64453125,0.138671875,0.9999927887843963
multiplication,2,same_computation,0,4.6015625,5.15625,5.6640625,1.0625,1.9154895044696256
multiplication,2,same_computation,10,4.6015625,5.15625,7.6328125,3.03125,5.4647788803986375
multiplication,2,same_computation,21,4.6015625,5.15625,7.2890625,2.6875,4.845061687776112
multiplication,2,same_computation,31,4.6015625,5.15625,6.03125,1.4296875,2.5774601420436873
multiplication,2,same_computation,41,4.6015625,5.15625,5.15625,0.5546875,0.9999981971863486
multiplication,2,surface_wrong,0,4.6015625,5.6875,5.79296875,1.19140625,1.09712129185953
multiplication,2,surface_wrong,10,4.6015625,5.6875,7.77734375,3.17578125,2.924457738628845
multiplication,2,surface_wrong,21,4.6015625,5.6875,7.1328125,2.53125,2.330933105327788
multiplication,2,surface_wrong,31,4.6015625,5.6875,0.609375,-3.9921875,-3.676255607476851
